obs_start,obs_end,length,iteration,distribution
9413107,9413150,44,0,geom3
7786468,7786468,1,0,geom3
7481967,7481967,1,0,geom3
7243595,7243595,1,0,geom3
8105285,8105285,1,0,geom3
4806247,4806247,1,0,geom3
8326341,8326341,1,0,geom3
4790483,4790483,1,0,geom3
1742281,1742281,1,0,geom3
7843109,7843109,1,0,geom3
7812768,7812768,1,0,geom3
9264695,9264695,1,0,geom3
787436,787504,69,0,geom3
6299542,6299586,45,0,geom3
2002959,2002959,1,0,geom3
1594841,1594841,1,0,geom3
8420887,8420887,1,0,geom3
1553267,1553267,1,0,geom3
793733,793733,1,0,geom3
8566306,8566306,1,0,geom3
565690,565690,1,0,geom3
4002609,4002609,1,0,geom3
5300994,5300994,1,0,geom3
4389827,4389827,1,0,geom3
263232,263232,1,0,geom3
8648978,8648978,1,0,geom3
6460136,6460136,1,0,geom3
7940790,7940790,1,0,geom3
5801779,5801779,1,0,geom3
5693611,5693611,1,0,geom3
7230476,7230476,1,0,geom3
1455559,1455559,1,0,geom3
8105424,8105424,1,0,geom3
1782931,1782931,1,0,geom3
5067453,5067461,9,0,geom3
3117152,3117152,1,0,geom3
275979,275979,1,0,geom3
7099519,7099519,1,0,geom3
2966963,2966963,1,0,geom3
8095241,8095241,1,0,geom3
8270444,8270444,1,0,geom3
6407310,6407310,1,0,geom3
2611124,2611124,1,0,geom3
4717714,4717714,1,0,geom3
4309563,4309563,1,0,geom3
761308,761308,1,0,geom3
3045999,3045999,1,0,geom3
4064,4064,1,0,geom3
3228571,3228571,1,0,geom3
8022117,8022117,1,0,geom3
6122712,6122712,1,0,geom3
4758519,4758519,1,0,geom3
6902499,6902499,1,0,geom3
7399631,7399631,1,0,geom3
4806247,4806431,185,0,geom3
1766125,1766125,1,0,geom3
500893,500893,1,0,geom3
6586285,6586285,1,0,geom3
5638888,5638888,1,0,geom3
7984155,7984155,1,0,geom3
6781651,6781651,1,0,geom3
7544535,7544535,1,0,geom3
3795053,3795070,18,0,geom3
9962137,9962137,1,0,geom3
3648772,3648772,1,0,geom3
2490869,2490869,1,0,geom3
3993076,3993076,1,0,geom3
9113134,9113134,1,0,geom3
3740171,3740171,1,0,geom3
1736251,1736251,1,0,geom3
8941974,8941974,1,0,geom3
3009029,3009029,1,0,geom3
707595,707595,1,0,geom3
6059732,6059732,1,0,geom3
7564301,7564301,1,0,geom3
7316501,7316501,1,0,geom3
566035,566035,1,0,geom3
4961211,4961211,1,0,geom3
6201626,6201626,1,0,geom3
428084,428084,1,0,geom3
3374244,3374244,1,0,geom3
4187177,4187177,1,0,geom3
6478255,6478255,1,0,geom3
7700714,7700714,1,0,geom3
7700714,7700714,1,0,geom3
6912620,6912620,1,0,geom3
7326881,7326881,1,0,geom3
4736205,4736205,1,0,geom3
5221372,5221372,1,0,geom3
9628793,9628793,1,0,geom3
1605518,1605518,1,0,geom3
3657994,3657994,1,0,geom3
9993693,9993693,1,0,geom3
3806669,3806669,1,0,geom3
5147047,5147047,1,0,geom3
7723140,7723140,1,0,geom3
7474112,7474112,1,0,geom3
9257950,9257950,1,0,geom3
2960803,2960803,1,0,geom3
2119129,2119129,1,0,geom3
8249495,8249495,1,0,geom3
4633885,4633885,1,0,geom3
8906531,8906531,1,0,geom3
6694041,6694041,1,0,geom3
715609,715609,1,0,geom3
8185722,8185722,1,0,geom3
3933225,3933225,1,0,geom3
5894472,5894472,1,0,geom3
7377043,7377043,1,0,geom3
1641081,1641199,119,0,geom3
8310220,8310220,1,0,geom3
3592505,3592505,1,0,geom3
2712578,2712578,1,0,geom3
1523169,1523169,1,0,geom3
1826858,1826858,1,0,geom3
1453605,1453605,1,0,geom3
4400793,4400793,1,0,geom3
7386350,7386350,1,0,geom3
6919577,6919577,1,0,geom3
2069816,2069816,1,0,geom3
4755099,4755099,1,0,geom3
8308244,8308244,1,0,geom3
3049261,3049261,1,0,geom3
1694231,1694231,1,0,geom3
8842726,8842726,1,0,geom3
7082073,7082073,1,0,geom3
2713983,2713983,1,0,geom3
1394342,1394342,1,0,geom3
1873613,1873689,77,0,geom3
2614852,2614852,1,0,geom3
8278570,8278570,1,0,geom3
5600945,5600945,1,0,geom3
8190343,8190343,1,0,geom3
7399631,7399631,1,0,geom3
6601162,6601162,1,0,geom3
8999647,8999647,1,0,geom3
6570760,6570760,1,0,geom3
8162509,8162509,1,0,geom3
2528825,2528825,1,0,geom3
1925267,1925267,1,0,geom3
6627300,6627300,1,0,geom3
3111534,3111534,1,0,geom3
1792210,1792210,1,0,geom3
3841718,3841718,1,0,geom3
5973699,5973699,1,0,geom3
4938618,4938618,1,0,geom3
2692199,2692199,1,0,geom3
5244016,5244016,1,0,geom3
9641491,9641491,1,0,geom3
4205624,4205624,1,0,geom3
8110083,8110083,1,0,geom3
3096520,3096520,1,0,geom3
8249908,8249908,1,0,geom3
9110620,9110620,1,0,geom3
1396826,1396826,1,0,geom3
5378651,5378651,1,0,geom3
7759602,7759602,1,0,geom3
420800,420800,1,0,geom3
5718594,5718594,1,0,geom3
2408930,2408930,1,0,geom3
2843915,2843915,1,0,geom3
6951289,6951289,1,0,geom3
7935546,7935546,1,0,geom3
9986256,9986256,1,0,geom3
8440695,8440695,1,0,geom3
9971276,9971276,1,0,geom3
3067307,3067307,1,0,geom3
513208,513208,1,0,geom3
2407340,2407340,1,0,geom3
1746309,1746309,1,0,geom3
9776742,9776742,1,0,geom3
4370076,4370076,1,0,geom3
1449913,1449913,1,0,geom3
3818359,3818359,1,0,geom3
8397764,8397764,1,0,geom3
3644813,3644813,1,0,geom3
4758433,4758433,1,0,geom3
4221434,4221434,1,0,geom3
1346439,1346439,1,0,geom3
5050865,5050865,1,0,geom3
7348343,7348343,1,0,geom3
3657780,3657780,1,0,geom3
777450,777584,135,0,geom3
5909245,5909245,1,0,geom3
5983902,5983902,1,0,geom3
5850410,5850410,1,0,geom3
813814,813814,1,0,geom3
1713950,1713950,1,0,geom3
1747681,1747681,1,0,geom3
1123598,1123598,1,0,geom3
2747045,2747045,1,0,geom3
1183441,1183441,1,0,geom3
186819,186819,1,0,geom3
785769,785769,1,0,geom3
7153484,7153484,1,0,geom3
9859088,9859088,1,0,geom3
881799,881799,1,0,geom3
3661729,3661729,1,0,geom3
2247061,2247061,1,0,geom3
3912873,3912873,1,0,geom3
9990364,9990364,1,0,geom3
2661002,2661002,1,0,geom3
1527584,1527584,1,0,geom3
997432,997432,1,0,geom3
630539,630539,1,0,geom3
2033203,2033203,1,0,geom3
1982982,1982982,1,0,geom3
1923956,1923956,1,0,geom3
2828507,2828507,1,0,geom3
2020302,2020302,1,0,geom3
7022780,7022780,1,0,geom3
4561825,4561825,1,0,geom3
3366448,3366448,1,0,geom3
7763195,7763195,1,0,geom3
5987103,5987103,1,0,geom3
1523936,1523936,1,0,geom3
5736640,5736640,1,0,geom3
6420292,6420292,1,0,geom3
8463308,8463308,1,0,geom3
126917,126917,1,0,geom3
6501138,6501138,1,0,geom3
1161407,1161407,1,0,geom3
8826166,8826166,1,0,geom3
7389231,7389231,1,0,geom3
781694,781694,1,0,geom3
6359107,6359107,1,0,geom3
6318273,6318273,1,0,geom3
9178715,9178715,1,0,geom3
3549796,3549796,1,0,geom3
999815,999815,1,0,geom3
8097712,8097712,1,0,geom3
4934236,4934236,1,0,geom3
8687775,8687775,1,0,geom3
3199396,3199396,1,0,geom3
1645593,1645593,1,0,geom3
27893,27893,1,0,geom3
1328939,1328939,1,0,geom3
426925,426966,42,0,geom3
2124528,2124528,1,0,geom3
7273986,7273986,1,0,geom3
467105,467105,1,0,geom3
4034852,4034852,1,0,geom3
7564301,7564301,1,0,geom3
6322882,6322882,1,0,geom3
6646264,6646264,1,0,geom3
